filename,text
clinical_trial_NCT05573035.html,"NCT ID: NCT05573035

Title: A Phase 1 Study to Assess the Safety and Efficacy of LYL845 in Adults With Relapsed and/or Refractory Metastatic or Locally Advanced Melanoma and Selected Solid Tumor Malignancies

Status: TERMINATED


Brief Summary:
This is an open-label, multi-center, dose-escalation study with expansion cohorts, designed to evaluate the safety and anti-tumor activity of LYL845, an epigenetically reprogrammed tumor infiltrating lymphocyte (TIL) therapy, in participants with relapsed or refractory (R/R) metastatic or locally advanced melanoma, non-small cell lung cancer (NSCLC), and colorectal cancer (CRC).


Detailed Description:
This is an open-label, multi-center, dose-escalation study with expansion cohorts, designed to evaluate the safety and anti-tumor activity of LYL845, an epigenetically reprogrammed tumor infiltrating lymphocyte (TIL) therapy, in participants with relapsed or refractory (R/R) metastatic or locally advanced melanoma, non-small cell lung cancer (NSCLC), and colorectal cancer (CRC). During the dose-escalation phase of the study (Part A), participants with melanoma will be enrolled. Once a safe recommended Phase 2 dose range (RP2DR) has been established in Part A, enrollment will be expanded (Part B) to include additional participants with melanoma, NSCLC and CRC.


Eligibility Criteria:
Inclusion Criteria:

* Age ≥ 18 years up to ≤ 75 years at the time of informed consent
* Confirmed diagnosis of melanoma, non-small cell lung cancer (NSCLC), or colorectal cancer (CRC) that is metastatic or locally advanced or unresectable and is relapsed and/or refractory (R/R) after standard therapy for each tumor histology
* Participants must have received prior systemic treatment for their metastatic disease or locally advanced disease based on tumor type as follows:
* Melanoma: participants with disease progression following an immune checkpoint inhibitor (CPI)
* NSCLC: participants with disease progression following at least 1 approved systemic therapy, including an immune CPI-containing regimen for appropriate patients or an approved targeted therapy for known molecular abnormalities if applicable to their disease
* CRC: participants with disease progression following at least 1 line of therapy, including a fluoropyrimidine with oxaliplatin or irinotecan. Microsatellite instability (MSI) high/mismatch repair deficient (dMMR) CRC participants must have disease progression following systemic therapy with immune CPIs."
clinical_trial_NCT01124435.html,"NCT ID: NCT01124435

Title: Phase II Study of the Combination Carboplatin Plus Celecoxib in Heavily Pre-treated Recurrent Ovarian Cancer Patients

Status: COMPLETED


Brief Summary:
The aim of this study is to evaluate the antitumor activity and potential adverse effects of the combination celecoxib plus carboplatin in patients with recurrent, heavily pre-treated Ovarian Cancer (OC). The potential changes induced by the experimental combination on angiogenesis-related serum markers and quality of life measures will be also evaluated.The main objective is to evaluate the response rate. Secondary objectives are the following:toxicity;progression free survival;overall survival;duration of response;quality of life;modulation of angiogenesis-related molecules.


Detailed Description:
This phase II prospective study will be conducted at the Gynecologic Oncology Units of the Catholic University of Rome and Campobasso, Italy. The study is non-sponsored, investigators initiated. The primary objective is to determine the tumor response rate by RECIST criteria. Secondary objectives included duration of response, progression-free survival (PFS), overall survival (OS), toxicity assessment, and QoL measures.Patients are required to take celecoxib (200 mg tablets by mouth twice daily, day 1 to 28), associated to intravenous carboplatin (area under the curve (AUC) 5 over 30 to 60 minutes, every 28 days). Patients who will develop carboplatin hypersensitivity reaction (HSR) will follow a desensitization protocol, or alternatively will switch to cisplatin. Erythropoietic stimulating agent and myeloid growth factors are not permitted for cycle 1 of study treatment, and their use will be chosen by the treating physician, according to hospital policy.Treatment will be discontinued when any of the following events occurs: radiographic or clinical evidence of cancer progression; deterioration of health or intolerable toxicity; patient refusal. Before starting treatment, patients will be evaluated by medical history, physical examination, cell blood count (CBC), chemistry panel, Ca125, and either computed tomography or magnetic resonance imaging scan. The primary endpoint is to determine the overall response (OR) rate. Secondary endpoints include the assessment of duration of response, PFS, OS, toxicity events and QoL scores. When treatment will be discontinued, patients will receive a follow-up visit every 3 months


Eligibility Criteria:
Inclusion Criteria:

* Recurrent epithelial ovarian or fallopian tube or peritoneal serous carcinomas with measurable disease as assessed by Response Evaluation Criteria in Solid Tumors criteria
* Patients will require to have received a platinum-containing regimen as primary treatment and at least one line of chemotherapy for recurrent disease
* An interval time from the last platinum-based chemotherapy after 6months
* 18 years of years
* Eastern Cooperative Oncology Group performance status of 0 to 2
* Adequate bone marrow
* Adequat"
clinical_trial_NCT02341235.html,"NCT ID: NCT02341235

Title: Self-monitoring Activity: a Randomized Trial of Game-oriented Applications (SMARTGOAL)

Status: COMPLETED


Brief Summary:
The purpose of this study is to compare an enhanced intervention that includes narrative and game components to a standard intervention that only targets self-monitoring. These approaches will be tested among postmenopausal breast cancer survivors who are sedentary and overweight.


Detailed Description:
Habitual physical activity decreases risk of multiple negative health outcomes, including breast cancer recurrence and mortality. It is also associated with better quality of life and reducing negative effects of cancer and cancer treatment. However, most breast cancer survivors do not engage in sufficient physical activity. Behavior change interventions produce short-term increases in activity but have difficulty motivating sustained active lifestyles over longer periods and are not equally effective in women of different races/ethnicities. The purpose of this study is to test a novel intervention that uses video games and storytelling to increase motivation. Video game mechanics increase enjoyment and feelings of autonomy (control), competence, and relatedness to others. All of these feelings are associated with motivation for activity and, in turn, sustained activity over time. Additionally, narrative storytelling is an effective method of persuading individuals to change their behavior. We propose that play of active video games that include compelling storylines will increase physical activity among a diverse sample of postmenopausal breast cancer survivors.

To test this hypothesis, we will conduct a clinical trial that compares the enhanced intervention (story-based video games) to a standard intervention in 90 sedentary, overweight postmenopausal breast cancer survivors. Participants in the enhanced group will receive a mobile device and accessories with two story-based video game applications installed. The games incorporate behavior change strategies such as self-monitoring and feedback while also using game mechanics and a lengthy storyline to motivate physical activity. Participants in the standard group will receive the same mobile device with an electronic activity monitor and its companion feedback application. Both groups will receive brief weekly telephone counseling. By comparing two groups that both receive typical behavior change intervention components (counseling) and a novel electronic intervention, we will be able to investigate the specific effects of game mechanics and storytelling on motivation and physical activity. We will measure changes in physical activity, fitness, function, and quality of life from the beginning of the study to 6 months. We will also investigate further changes during an additional 6 month follow-up period in which participants keep their intervention tools but do not receive any counseling, to measure maintenance of activity."
clinical_trial_NCT04663035.html,"NCT ID: NCT04663035

Title: CT-guided Thermal Ablation Plus Tislelizumab Versus Ablation Alone for Intrahepatic Recurrent Early Stage Hepatocellular Carcinoma: a Randomized Controlled Phase II Clinical Trial

Status: UNKNOWN


Brief Summary:
This is a randomized, controlled, phase 2 study to assess the efficacy and safety of ablation followed by tislelizumab versus ablation alone in patients with early recurrent hepatocellular carcinoma.


Detailed Description:
Ablation is one of the main treatments for early recurrent HCC, and its immune stimulation is expected to improve the efficacy of anti-PD-1 immune checkpoint inhibitor therapy. Tislelizumab is a new immunotherapy agent with independent intellectual property rights in China, which is highly efficient and safe. It is of great value to combine Tislelizumab with ablation to reduce the risk of recurrence in HCC patients. In this study, early-stage HCC patients with high risk of recurrence would be included and randomly assigned to receive ablation plus Tislelizumab or ablation alone. The tumor recurrence, overall survival and safety would be observed and recorded to analyze whether Tislelizumab can reduce the recurrence rate.


Eligibility Criteria:
Inclusion Criteria:

1. Pathological diagnosed HCC.
2. The recurrent lesions should meet the diagnostic and staging criteria of the Barcelona liver cancer clinical system (BCLC) recommended by the American Association of liver Diseases and the European Association of liver Diseases (AASLD/EASL). The specific diagnostic criteria for HCC are as follows:

   I. Intrahepatic lesions ≥ 1cm, with typical HCC findings in dynamic contrast-enhanced CT or MRI, that is, enhancement in arterial phase or decreased enhancement in portal phase.

   II. Intrahepatic lesions ≥ 1cm without typical imaging findings, the biopsy can be performed.

   III. Intrahepatic lesions \< 1cm, ultrasound follow-up every 4 months, if the enlargement exceeds 1cm, then refer to standard I or II.
3. If the intrahepatic recurrent lesions are diagnosed by the above criteria, BCLC-0/A stage can be performed as follows:

   I. BCLC-0: single lesion \< 2cm, Child-Pugh A (without ascites), and ECOG-PS 0. II.BCLC-A: single lesion ≥ 2cm, Child-Pugh A (without ascites), and ECOG-PS 0. III.BCLC-A stage: 2-3 lesions but all are less than 3cm. Child-Pugh A (without ascites), and ECOG-PS 0.
4. The recurrence time of HCC should be between 3 and 12 months.
5. Patients with recurrent HCC lesions should meet the indications of ablation treatment, as follows:

I. Single lesion ≤ 5 cm; or. II. 2-3 lesions, all are less than 3cm; and. III. The location of the above lesions should be far away from the dangerous sites.

6\. Life expectancy ≥ 12 months. 7. The laboratory test shall be completed within 7 days before the screening and the following criteria shall be met: I. Adequate hematologic function：

1. WBC ≥ 2.0 x 109/L (stable, off any growth factor within 4 weeks of study drug administration)
2."
clinical_trial_NCT02714335.html,"NCT ID: NCT02714335

Title: An Observational Study to Determine the Correlation Between MAGE-A3, PRAME Polymorphism and Expression Levels of MAGE-A3 and PRAME in NSCLC Patients in Taiwan

Status: COMPLETED


Brief Summary:
Considering the low expression rate of Melanoma-associated antigen 3 (MAGE-A3) in Asian especially Southeast Asian, it would be great interests to investigate the potential polymorphism of MAGE-A3 in Non-Small-Cell Lung Cancer (NSCLC) patients in Taiwan. Meanwhile, it is also interesting to study the expression of Preferentially Expressed Antigen In Melanoma(PRAME) and Epidermal growth factor receptor (EGFR) mutation status as well as to find out significant factors which may affect their expression such as smoking status, histological types, tumour size and stages in Taiwan.


Detailed Description:
Considering the low expression rate of MAGE-A3 in Asian especially Southeast Asian, it would be great interests to investigate the potential polymorphism of MAGE-A3 in NSCLC patients in Taiwan. Meanwhile, it is also interesting to study the expression of PRAME and EGFR mutation status as well as to find out significant factors which may affect their expression such as smoking status, histological types, tumour size and stages in Taiwan


Eligibility Criteria:
Inclusion Criteria:

\- Tissues samples up to 200 cases of NSCLS patients with informed consent, consisting of about 100 cases of adenocarcinoma (AC) and 100 cases of squamous cell carcinoma (SCC), with stage of IB, IIA, IIB and IIIA

Exclusion Criteria:

\- No

Age Range: 20 Years - N/A

Sex: ALL

Healthy Volunteers: False"
clinical_trial_NCT02124135.html,"NCT ID: NCT02124135

Title: Eat Out With KP: A Pilot to Improve the Impact of Dietary Advice for Families

Status: COMPLETED


Brief Summary:
Dietary counseling at the point of purchase could improve patient adherence to dietary advice and downstream health outcomes. The aim of our pilot is to test the efficacy of a novel delivery system for dietary advice. We will study the effect of relocating family weight management counseling sessions into restaurants, where registered dieticians and patients will conduct scheduled group visits while enjoying a meal together. As with office-based visits, our goal is for members and their families to learn how to select food options based on their unique health needs, budgetary concerns, and time constraints. In contrast to a traditional counseling visit, however, co-dining with a dietitian will give members a hands-on experience designed to enhance their learning and improve adherence. The proposed study would build on an existing pilot of a similar program, the ""KP Personal Shopper"", where dietitian visits were conducted with individuals either in the clinic setting or while shopping in a grocery store.

We will compare the new ""Eat Out with Kaiser"" approach to the current standard of clinic-based dietary and lifestyle counseling for weight management among 40 families affected by obesity, with the following outcomes in mind:

1. Change in dietary measures
2. Nutritional knowledge of families
3. Participant self-efficacy and confidence in food purchasing decisions
4. Participant and dietician perception of visit

We hypothesize that, compared to clinic-based visits, our ""Eat Out with Kaiser"" visits will result in more favorable perception of the visit by both dietitian and participant, higher nutritional knowledge scores, higher self-efficacy and confidence of patients around food decisions, and larger improvements in diet components.


Detailed Description:
Dietary counseling at the point of purchase could improve patient adherence to dietary advice and downstream health outcomes. The aim of our pilot is to test the efficacy of a novel delivery system for dietary advice. We will study the effect of relocating family weight management counseling sessions into restaurants, where registered dieticians and patients will conduct scheduled group visits while enjoying a meal together. As with office-based visits, our goal is for members and their families to learn how to select food options based on their unique health needs, budgetary concerns, and time constraints. In contrast to a traditional counseling visit, however, co-dining with a dietitian will give members a hands-on experience designed to enhance their learning and improve adherence. The proposed study would build on an existing pilot of a similar program, the ""KP Personal Shopper"", where dietitian visits were conducted with individuals either in the clinic setting or while shopping in a grocery store."
clinical_trial_NCT00418535.html,"NCT ID: NCT00418535

Title: A Phase II Study of Concurrent Chemoradiation Followed by VIPD (Etoposide/Ifosfamide/Cisplatin/Dexamethasone) in Stage I, II Nasal NK/T-cell Lymphoma

Status: COMPLETED


Brief Summary:
Nasal NK/T-cell lymphoma is a peculiar clinico-pathologic subtype of non-Hodgkin's lymphoma (NHL). Although most patients present with stage I/II, only 30-60% of the patients remain disease-free. The efficacy of the conventional anthracycline-based chemotherapy (cyclophosphamide, doxorubicin, vincristine, prednisone \[CHOPP\]) has been unsatisfactory.

The optimal treatment of localized NK/T-cell lymphoma has not been defined yet. The optimal dose, sequence, and multi-modality treatment with involved field radiotherapy still need to be refined. This trial is to evaluate the efficacy of concurrent chemoradiotherapy with cisplatin followed by VIPD (etoposide, ifosfamide, cisplatin, dexamethasone) in localized NK/T-cell lymphoma patients.


Eligibility Criteria:
Inclusion Criteria:

* Pathologically confirmed NK/T-cell lymphoma
* Localized (Ann Arbor stage I/II) disease
* At least one measurable lesion
* Age \> 18
* ECOG performance status 0 - 2
* Expected life span of at least 12 weeks
* Normal marrow function (hemoglobin ≥ 9.0 g/dL; absolute neutrophil count ≥ 1,500/mm3; platelet count ≥ 100,000/mm3)
* Normal liver function (total bilirubin \< 2x upper limit of normal \[ULN\], transaminase \< 3x ULN)
* Normal renal function (serum creatinine ≤ 1.5 mg/dL, creatinine clearance ≥ 50 mL/min)
* Written informed consent

Exclusion Criteria:

* Other malignancies except for treated non-melanoma skin cancers and cervical cancer in situ
* Serious medical illnesses (congestive heart failure, angina, respiratory failure, and renal failure)
* Acute or active infection requiring intravenous (IV) antibiotics
* Pregnant, lactating women
* Previous history of chemotherapy or radiotherapy
* Concomitant medication that may influence the study drugs
* Allergic reaction to study drugs
* Grade 2 or greater peripheral neuropathy

Age Range: 18 Years - 75 Years

Sex: ALL

Healthy Volunteers: False"
clinical_trial_NCT00319735.html,"NCT ID: NCT00319735

Title: A Pilot Study With Cetuximab and Radiation Therapy for Patients With Surgically Resectable Esophageal and GE Junction Carcinomas: Hoosier Oncology Group Study (GI05-92)

Status: COMPLETED


Brief Summary:
The interaction of epidermal growth factor receptor (EGFR) inhibitory agents such as cetuximab combined with radiation shows promising results. EGFR inhibitory agents also enhance radiation-induced apoptosis and inhibit radiation induced damage repair. These interactions may represent the principle effects that contribute to the synergy between EGFR and radiation.

This trial will investigate the feasibility and activity of this combination in patients with surgically resectable disease.


Detailed Description:
OUTLINE: This is a multi-center study.

* Cetuximab 400 mg/m2 IV over 120 minutes Day -14 (Loading Dose)
* Cetuximab 250 mg/m2 IV over 60 minutes, day -7.
* Cetuximab 250 mg/m2 IV over 60 minutes, days 1, 8, 15, 22, 29 and 36.
* External beam radiation therapy, beginning on day 1, 4500 cGy to esophagus with boost of 540 cGy at 180 cGy per fraction for 6 weeks.
* Surgical resection of primary tumor and adjacent mediastinal and/or celiac lymph nodes by a transthoracic approach after satisfactory hematologic and functional recovery within 8 weeks of completion of radiation therapy.
* For patients who give their consent, fresh frozen tissue will be obtained per EUS at baseline, per EUS 2 weeks after the initiation of cetuximab, and at the time of surgery for pathology submission.


Eligibility Criteria:
Inclusion Criteria:

* Pathological diagnosis of either squamous cell carcinoma or adenocarcinoma of the esophagus or gastroesophageal junction.
* Clinical stage IIA, IIB or III without metastatic disease
* Patients must have documented EGFR status or have tumor tissue available for assessment of EGFR status by IHC
* Patients must be surgical candidates as determined by surgical consult.
* Patients must agree to surgery.
* ECOG performance status 0 or 2
* Absolute neutrophil count (ANC) \> 1,000 mm3
* Platelet count \> 75,000 mm3· Hemoglobin \> 10g/dL
* Bilirubin \< 2.5 X upper limit of normal
* AST (SGOT) or ALT (SGPT) \< 5.0 ´ upper limit of normal
* Creatinine \< 2.0 X upper limit of normal

Exclusion Criteria:

* No history of or current brain metastasis.
* No significant history of uncontrolled cardiac disease; i.e. uncontrolled hypertension, unstable angina, recent myocardial infarction (within prior 6 months), uncontrolled congestive heart failure, and cardiomyopathy with decreased ejection fraction.
* No history of interstitial pneumonitis or pulmonary fibrosis, or suspicion of interstitial pneumonitis or pulmonary fibrosis on imaging.
* No concurrent chemotherapy not indicated in the study protocol or any other investigational agent(s)."
clinical_trial_NCT03217435.html,"NCT ID: NCT03217435

Title: A Non-randomized Controlled Clinical Trial of Epithelial Allograft Transplantation From Living-related Donors for the Treatment of Limbal Stem Cell Deficiency

Status: COMPLETED


Brief Summary:
The purpose of the study is to explore whether femtosecond laser-assisted corneal epithelial allograft from living-related donor is more effective than limbal conjunctival allograft from living-related donor for ocular surface reconstruction in patients with limbal stem cell deficiency (LSCD).


Eligibility Criteria:
Inclusion Criteria:

1. LSCD secondary to ocular burns, with the duration of disease of at least 24 months at the time of screening visit;
2. Presence of superficial neo-vascularization affecting at least 2 cornea quadrants and involving central cornea;
3. Having a human leukocyte antigen (HLA)-matched living-related donor (≥4/6 HLA-A/B/DR matched);
4. Informed consent signed by patient or legal guardian. Having the ability to comply with study assessments for the full duration of the study.

Exclusion Criteria:

Recipients:

1. LSCD of mild degree, with less than 2 quadrants of neo-vessel invasion and without central cornea involvement;
2. LSCD by ocular surface disorders other than ocular burn;
3. Eyelids malposition;
4. The center corneal thickness\<450µm, the depth of corneal opacity \> 150µm;
5. High myopia with a spherical equivalent of -15.0 D or less;
6. Corneal or ocular surface infection within 30 days prior to study entry;
7. Ocular surface malignancy;
8. Uncontrolled diabetes with most recent Hemoglobin A1c greater than 8.5%;
9. Renal failure with creatinine clearance\< 25ml/min;
10. Alanine aminotransferase \> 40IU/L, or aspartate aminotransferase \> 40IU/L;
11. Platelet levels \< 150,000 or \> 450,000 per microliter;
12. Hemoglobin \< 12.0 g/dL (male) or \< 11.0 g/dL (female);
13. Prothrombin time \> 16s and activated partial thrombin time \> 35s in patients not accepting anticoagulant therapy; An international normalized ratio greater than 3 in patients accepting anticoagulant therapy;
14. Pregnancy (positive test) or lactation;
15. Participation in another simultaneous medical investigation or clinical trial;
16. Severe cicatricial eye disease; Conjunctival scarring with fornix shortening;
17. Ocular comorbidities that affect the prognosis of transplantation, such as advanced glaucoma or retinal diseases;
18. Severe dry eye disease as determined by Schirmer's test \< 2mm at least in one eye;
19. Any medical or social condition that in the judgment of the investigator would interfere with or serve as a contraindication to adherence to the study protocol or ability to give informed consent;
20. Signs of current infection, including fever and treatment with antibiotics;
21. Active immunological diseases;
22. History of allo-limbal transplantation, penetrating keratoplasty or anti-glaucoma filtering surgeries.

Donors:

1. Cornea diseases (epithelial defects, neovascularization, etc.);
2."
clinical_trial_NCT00675935.html,"NCT ID: NCT00675935

Title: Translating Fall Risk Status Into Interventions to Prevent Patient Falls: Falls TIPS (Tailoring Interventions for Patient Safety)

Status: COMPLETED


Brief Summary:
The goal of our project is to prevent patient falls by translating an individual patient's fall risk assessment into a decision support intervention that communicates fall risk status, and creates a tailored evidence-based plan of care that will be accessible to members of the care team to prevent falls.


Detailed Description:
Patient falls are defined as ""patients who experience an unplanned descent to the floor"". Patient falls in hospitals are a key safety issue and represent the most frequently reported adverse event in acute care settings. Previous work related to fall risk assessment suggests that a large majority of falls (78%) occur as a result of the presence of physiological risk factors such as confusion, incontinence, poor balance and mobility problems. These falls are considered preventable and as such are classified as iatrogenic.

Phase 1 Specific Aim: To describe the current barriers, facilitators, and methods of fall risk communication in acute care settings (2 academic medical center and 2 community hospital units).

1. What fall risk communication exists within the context of patient care workflow that alerts nurses and other providers (physicians, physical therapists, pharmacists) regarding patients' fall risk status?

   * What should the elements of alerts be at the point of care to support fall risk communication to nurses and other interdisciplinary team members?
   * How should the alert be communicated to professional and paraprofessional providers, patients, and families?
2. What communication of actions to prevent falls exists within the context of patient care workflow that promotes use of a fall prevention plan of care?

   * Based on empirical data to reduce barriers and enhance facilitators, how can information systems be used to create and communicate a tailored evidence-based fall risk patient safety plan of care derived from the nursing fall risk assessment?
   * Based on the C-IC conceptual model, how should the tailored evidence-based fall risk patient safety plan of care be communicated to professional and paraprofessional providers, patients, and families?

Phase 2 Specific Aim: To develop a Fall Prevention Tool Kit (FPTK) prototype that includes 1) The Fall Risk Alert and Communication Plan that translates an individual patient's fall risk assessment into an interdisciplinary fall risk status communication and 2) The Patient Safety Plan of Care (PSPOC), that translates the individual patient's fall risk assessment into a decision support intervention that creates a tailored evidence-based plan of care to be used by professional and paraprofessional providers, patients, and family members across acute care settings."
