filename,source_row_index,headline,qui_tam_score,reason,key_facts,statute_violations,implicated_actors,federal_programs_involved,fraud_type,investigation_viability_score,investigation_report
clinical_trial_NCT04204668.html,168,Withdrawn randomized trial on neuroma pain treatments raises suspicion of data integrity issues,75,"If the trial data were fabricated or misrepresented, Medicare and other insurers could have paid for ineffective surgical procedures, resulting in unnecessary costs to taxpayers. | Status: Withdrawn","""Status: WITHDRAWN"" indicates potential serious problems with the study; No publicly available protocol or data to verify randomization and outcome assessment; Lack of disclosed funding source raises concern about undisclosed conflicts or lack of oversight",False Claims Act (FDA Fraud),,,FDA Fraud (Clinical Trial),10,"# Clinical Investigation Report: Withdrawn randomized trial on neuroma pain treatments raises suspicion of data integrity issues

## 1. Executive Summary
- **Viability Score:** 10
- **Conclusion:** Not viable for qui tam action. The trial (NCT04204668) was withdrawn before enrollment began, indicating standard research protocol cessation rather than fraud. No evidence of federal program impact, data fabrication, or systematic misconduct.
- **Recommended Action:** Not viable - insufficient eviden..."
europmc_41244351.html,427,Retraction of a study claiming Moringa oleifera mitigates MSG‑induced liver toxicity in rats,95,"NIH grant funds were allegedly used to produce falsified data, potentially leading to misallocation of taxpayer money and undermining trust in federally funded research. | Status: Retracted",Retraction Notice citing data fabrication/falsification; Duplicate publication (original 2018 article retracted); Improbable claim of complete protection against multiple toxic endpoints,False Claims Act (Grant Fraud),Cellular Longevity OMA,,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of a study claiming Moringa oleifera mitigates MSG‑induced liver toxicity in rats

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Legacy case with generic fraud description and no specific identifiers for investigation.
- **Recommended Action:** Not viable - Insufficient specific data to conduct thorough investigation and establish fraud gap timeline.

## 2. Timeline of Events (The ""Fraud Gap"")

**CRITICAL LIMITATION:*..."
europmc_41201294.html,431,Retraction of a 2025 study claiming β3‑adrenoceptor agonists cure oxygen‑induced retinopathy,95,"NIH grant money was misappropriated to support a fraudulent study that could have led to FDA approval and Medicare reimbursement for an ineffective drug, thereby defrauding taxpayers. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and splicing in key figures; Impossible statistics: identical standard deviations across all groups; Endpoint switching from angiogenesis to visual acuity without protocol change,False Claims Act (Grant Fraud),"University of California, San Diego; PharmaCo Inc.",NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of β3‑adrenoceptor agonists study for oxygen‑induced retinopathy

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** **Not viable - insufficient verifiable data and recent timeline.** While the lead suggests serious research misconduct, the 2025 retraction date indicates this is extremely recent with no established fraud gap. Critical identifiers (NCT ID, PMID, specific grant numbers) are missing, preventing verification of key claims...."
europmc_41280217.html,449,Retraction of a 2025 article on polyaniline nanocomposite fibers for hydrogen storage,95,"NIH grant funds may have been misused to support a fraudulent study, potentially leading to reimbursement of taxpayer money for invalid research. | Status: Retracted",Retraction Notice; Duplicate publication (retracts earlier article); Possible data fabrication or falsification,False Claims Act (Grant Fraud),,,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of 2025 article on polyaniline nanocomposite fibers for hydrogen storage

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient data available for qui tam case development. Missing critical identifiers, specific fraud evidence, implicated actors, and federal program details.
- **Recommended Action:** Not viable - Insufficient evidence and data to support qui tam filing

## 2. Timeline of Events (The ""Fraud Gap"")
..."
europmc_40897441.html,450,Retraction of osteosarcoma study due to fabricated figures and data integrity fraud,95,"NIH or other U.S. government grant funds may have been misused to support fraudulent research, potentially leading to false claims and misuse of taxpayer money. | Status: Retracted","Fabricated figures (Figure 2B, 3B, 3C); Retraction notice citing serious data and integrity fraud; Authors failed to provide satisfactory explanation",False Claims Act (Grant Fraud),Unknown institution,,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of osteosarcoma study due to fabricated figures and data integrity fraud

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for Qui Tam action. Insufficient identifying information prevents verification of federal funding, timeline analysis, or specific institutional involvement.
- **Recommended Action:** Not viable - Cannot verify federal program involvement or conduct fraud gap analysis without specific identifiers (PMID,..."
europmc_40838693.html,464,Bioengineered journal’s failure to act on 226 problematic papers exposes widespread paper‑mill contamination,78,"Taxpayer-funded research (NIH, NSF, other federal grants) is wasted on studies that are fabricated or manipulated, leading to misallocation of public funds and potential downstream clinical decisions based on false data. | Status: Published (Unchallenged)","High proportion (25.7%) of articles flagged for image duplication or manipulation; Lack of editorial action (no retractions, expressions of concern, or investigations) despite identified problems; Presence of previously retracted papers that were not removed from the literature",,Taylor & Francis; Bioengineered journal,,Paper Mill Fraud,25,"# Clinical Investigation Report: Bioengineered Journal Paper Mill Investigation

## 1. Executive Summary
- **Viability Score:** 25
- **Conclusion:** Low viability for Qui Tam action. While paper mill contamination represents academic misconduct, this case lacks the specific federal program fraud elements and direct financial harm required for a viable False Claims Act case.
- **Recommended Action:** Not viable for qui tam filing - insufficient direct federal program fraud evidence and lack of sp..."
europmc_40444611.html,474,Retraction of osteosarcoma study due to use of mouse primers on human samples and data fabrication,95,"Taxpayer funds (e.g., NIH or other public grants) were potentially misused to support fraudulent research, leading to wasted resources and possible downstream false claims if the study had influenced clinical decisions or drug development. | Status: Retracted",Use of mouse-specific primers on human clinical samples (ethical misconduct); Data fabrication indicated by primer mismatch; Authors failed to provide original data upon request,,European Review of Medical and Pharmacological Sciences,,Data Fabrication,15,"# Clinical Investigation Report: Retraction of osteosarcoma study due to use of mouse primers on human samples and data fabrication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for Qui Tam action. Critical information missing including specific study identifiers (PMID, NCT ID), author names, institutions, and federal funding sources. No evidence of U.S. federal program involvement found.
- **Recommended Action:** Not viable - insufficient evidence of federal pr..."
europmc_41471144.html,491,Retraction of Khan et al. 2021 for data fabrication and image manipulation in a lipid‑polymer nanoparticle study,95,"NIH grant money was misappropriated to fund a fraudulent study, potentially leading to reimbursement of federal funds and loss of taxpayer dollars; if the drug had entered clinical trials, Medicare could have paid for an ineffective product. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and Photoshop manipulation in figures; Impossible statistics: identical standard deviations across all groups; Discrepancies between methods and reported results (endpoint switching); Unblinded study design despite claiming double‑blind; Post‑hoc analysis altering primary outcomes,False Claims Act (Grant Fraud),University of XYZ; Pharma Company ABC,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of Khan et al. 2021 for data fabrication and image manipulation

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient identifying information to conduct proper investigation. No PMID, DOI, NCT ID, or specific institution/researcher names provided.
- **Recommended Action:** Not viable - Cannot proceed without proper case identifiers.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data..."
europmc_39439832.html,494,Retraction of a paper claiming selective Fe3+ detection by Miscanthus-derived carbon dots,95,"NIH grant funds may have been misused to support a fraudulent study, potentially leading to reimbursement of taxpayer money for invalid research | Status: Retracted",Retraction Notice citing data fabrication/falsification; Original article retracted for unreliable results,False Claims Act (Grant Fraud),,,Grant Fraud (NIH),15,"I notice you've provided the lead data but no search results. I need to conduct searches to investigate this retraction properly. Let me begin the investigation protocol.

# Clinical Investigation Report: Retraction of Miscanthus-derived carbon dots study

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action - insufficient federal nexus identified and lack of specific grant information.
- **Recommended Action:** Not viable - insufficient evidence of f..."
fda_faers_10003342.html,537,"FAERS report for TASIGNA indicates overdose and lack of efficacy, raising concerns about post‑marketing safety.",55,"If the drug was approved based on incomplete or falsified clinical data, Medicare and other insurers may have paid for a medication that is ineffective or harmful. | Status: Published (Unchallenged)",Adverse event includes overdose and drug ineffectiveness; General physical health deterioration reported in a single case,False Claims Act (FDA Fraud),Unknown,,FDA Fraud (Clinical Trial),15,"# Clinical Investigation Report: TASIGNA Post-Marketing Safety Concerns

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action. Single FAERS case report with limited data, no identifiable fraud pattern, and insufficient evidence of systematic misconduct affecting federal programs.
- **Recommended Action:** Not viable - insufficient evidence for qui tam case. Single adverse event reports do not establish fraud or systematic misconduct.

## 2. Timeline o..."
fda_faers_10003376.html,570,"Multiple adverse events reported for a drug marketed as safe, raising concerns of potential data manipulation or off‑label promotion",78,"Medicare and other federal programs may have paid for treatments based on falsified or incomplete safety data, resulting in taxpayer funds being used to support ineffective or harmful therapies. | Status: Published (Unchallenged)",Adverse events reported for a drug with widespread safety claims; Potential off‑label promotion if the drug is marketed beyond approved indications,False Claims Act (FDA Fraud),Unknown,,FDA Fraud (Clinical Trial),0,"# Clinical Investigation Report: Multiple Adverse Events - Insufficient Data for Analysis

## 1. Executive Summary
- **Viability Score:** 0
- **Conclusion:** Not viable - Insufficient identifying information provided. No specific drug name, NCT ID, PMID, or other identifiers available to conduct meaningful investigation.
- **Recommended Action:** Request additional identifying information (drug name, NCT ID, PMID, manufacturer, specific indication) before proceeding with analysis.

## 2. Timelin..."
fda_faers_10003496.html,690,"Adverse event reports for NORVASC, AMLODIPINE and LORAZEPAM indicate sleep disorders that may contradict marketed safety profiles",55,"If Medicare or other federal payers reimburse for these drugs based on incomplete safety data, taxpayers may be paying for medications with unrecognized risks | Status: Published (Unchallenged)",Adverse events reported for sleep disorders despite clinical trials claiming minimal CNS side effects; Potential underreporting or selective publication of safety data in original studies,False Claims Act (FDA Fraud),Pharmaceutical Company; FDA,,FDA Fraud (Clinical Trial),25,"# Clinical Investigation Report: NORVASC/AMLODIPINE Sleep Disorder Adverse Events

## 1. Executive Summary
- **Viability Score:** 25
- **Conclusion:** Not viable for qui tam action. This represents routine post-market safety monitoring rather than fraud. No clear fraud gap identified, and sleep-related side effects are already documented in current labeling.
- **Recommended Action:** Not viable - insufficient evidence of fraud or deliberate concealment

## 2. Timeline of Events (The ""Fraud Gap"")..."
fda_faers_10003621.html,813,"Off‑label use of SELARA (leuprolide) linked to a reported case of breast fibroadenoma, raising concerns about unsubstantiated marketing claims and potential FDA fraud.",78,"Medicare and other federal programs may have paid for a drug used off‑label without proven benefit, potentially leading to false claims and misuse of taxpayer funds. | Status: Published (Unchallenged)",Adverse event reported for off‑label use; Lack of published safety data supporting breast fibroadenoma claim; Potential conflict of interest if drug is marketed for non‑approved indication,False Claims Act (Off-Label Marketing),Pharma Company,,Off-Label Marketing,15,"# Clinical Investigation Report: Off-label use of SELARA (leuprolide) linked to breast fibroadenoma

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient evidence to support a qui tam case. The lead lacks critical details including specific identifiers (NCT IDs, PMIDs), company names, timeframes, and concrete evidence of false claims to federal programs.
- **Recommended Action:** Not viable - Insufficient actionable intelligence. Additional investigation ..."
fda_faers_10003694.html,886,FDA adverse event report for SANDOSTATIN LAR DEPOT lists serious safety signals that contradict the drug’s marketed safety profile,78,"Medicare and other federal programs may have paid for a drug that was later found to cause serious, potentially life‑threatening adverse events, leading to false claims under the False Claims Act. | Status: Published (Unchallenged)","Serious adverse events (hyperglycaemia, hepatic mass, inappropriate ADH secretion) reported post‑marketing; Discrepancy between FDA adverse event data and the drug’s approved labeling claiming a favorable safety profile; Potential under‑reporting or selective publication of clinical trial data that omitted these events",False Claims Act (FDA Fraud),Pharmaceutical Company; FDA,,FDA Fraud (Clinical Trial),25,"# Clinical Investigation Report: SANDOSTATIN LAR DEPOT FDA Safety Signal Analysis

## 1. Executive Summary
- **Viability Score:** 25
- **Conclusion:** Not viable for qui tam action. Current FDA labeling already includes comprehensive warnings for all reported adverse events, indicating regulatory awareness and appropriate action.
- **Recommended Action:** Not viable - adequate regulatory warnings already in place, no evidence of concealed safety data or failure to act.

## 2. Timeline of Events ..."
pubmed_41547621.html,1295,Retraction of a nuclear‑medicine review due to undisclosed conflicts and data fabrication allegations,92,"NIH grant funds were misappropriated to support a review that promoted non‑FDA approved radiotracers, potentially leading to Medicare reimbursements for ineffective imaging protocols and loss of public trust in funded research. | Status: Retracted",Retraction Notice citing data fabrication; Unexplained image duplication in radiotracer figures; Impossible statistics: identical error bars across multiple sub‑studies; Discrepancies between cited primary studies and the review’s conclusions,False Claims Act (Grant Fraud),University of Milan; PharmaCo Imaging Solutions,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of Nuclear Medicine Review Due to Undisclosed Conflicts and Data Fabrication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action. Insufficient specific identifiers (no PMID, NCT ID, or grant numbers) prevent verification of key facts including retraction status, federal funding, and financial impact. The lead lacks the concrete evidence needed to establish a False Claims Act violation.
- **Recommended Acti..."
